id;modele;id_marque;rappel_marque
220;X4 II;17;BMW
221;X5;17;BMW
222;X5 IV;17;BMW
223;X6;17;BMW
224;X6 III;17;BMW
225;X7;17;BMW
226;XM;17;BMW
227;Z1;17;BMW
228;Z3;17;BMW
229;Z4;17;BMW
230;Z8;17;BMW
231;PARKAVENUE;18;BUICK
232;ATTO 3;19;BYD
233;HAN;19;BYD
234;TANG;19;BYD
235;CTS;20;CADILLAC
236;ELDORADO;20;CADILLAC
237;ESCALADE;20;CADILLAC
238;SEVILLE;20;CADILLAC
239;XT4;20;CADILLAC
240;ALERO;21;CHEVROLET
241;AVEO;21;CHEVROLET
242;BERETTA;21;CHEVROLET
243;BLAZER;21;CHEVROLET
244;CAMARO;21;CHEVROLET
245;CAPTIVA;21;CHEVROLET
246;CORSICA;21;CHEVROLET
247;CORVETTE;21;CHEVROLET
248;CRUZE;21;CHEVROLET
249;EPICA;21;CHEVROLET
250;EVANDA;21;CHEVROLET
251;KALOS;21;CHEVROLET
252;LACETTI;21;CHEVROLET
253;MALIBU;21;CHEVROLET
254;MATIZ;21;CHEVROLET
255;NUBIRA;21;CHEVROLET
256;ORLANDO;21;CHEVROLET
257;REZZO;21;CHEVROLET
258;SPARK;21;CHEVROLET
259;TRANS SPORT;21;CHEVROLET
260;TRAX;21;CHEVROLET
261;VOLT;21;CHEVROLET
262;300C;22;CHRYSLER
263;300M;22;CHRYSLER
264;CROSSFIRE;22;CHRYSLER
265;ES;22;CHRYSLER
266;GRAND VOYAGER;22;CHRYSLER
267;LE BARON;22;CHRYSLER
268;NEON;22;CHRYSLER
269;NEW YORKER;22;CHRYSLER
270;PT CRUISER;22;CHRYSLER
271;SARATOGA;22;CHRYSLER
272;SEBRING;22;CHRYSLER
273;STRATUS;22;CHRYSLER
274;VIPER;22;CHRYSLER
275;VISION;22;CHRYSLER
276;VOYAGER;22;CHRYSLER
277;2 CV;23;CITROEN
278;ACADIANE;23;CITROEN
279;AK;23;CITROEN
280;AMI;23;CITROEN
281;AX;23;CITROEN
282;AXEL;23;CITROEN
283;AZU;23;CITROEN
284;BERLINGO;23;CITROEN
285;BERLINGO II;23;CITROEN
286;BERLINGO III;23;CITROEN
287;BX;23;CITROEN
288;C-CROSSER;23;CITROEN
289;C-ELYSEE;23;CITROEN
290;C-ZERO;23;CITROEN
291;C1;23;CITROEN
292;C15;23;CITROEN
293;C2;23;CITROEN
294;C25;23;CITROEN
295;C25 COMBI;23;CITROEN
296;C3;23;CITROEN
297;C3 AIRCROSS;23;CITROEN
298;C3 II;23;CITROEN
299;C3 III;23;CITROEN
300;C3 PICASSO;23;CITROEN
301;C3 PLURIEL;23;CITROEN
302;C35;23;CITROEN
